Season,Country,ILI_CASES,REL,B_REL,H3_REL,H1pdm_REL,H3_REL_LAG1,H1pdm_REL_LAG1,B_REL_LAG1,H3_REL_LAG2,H1pdm_REL_LAG2,B_REL_LAG2,H3_REL_LAG3,H1pdm_REL_LAG3,B_REL_LAG3
2010,Austria,13747,0.126761212747123,0.26958883054705,0.0185082779743428,0.979515018949837,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Austria,11605,0.107009811153733,0.12540212244578,0.944695989091546,0,0.0185082779743428,0.979515018949837,0.26958883054705,NA,NA,NA,NA,NA,NA
2012,Austria,13354,0.123137356152257,0.487418701436018,0.112488020081816,0.631466840004739,0.944695989091546,0,0.12540212244578,0.963204267065889,0.979515018949837,0.39499095299283,NA,NA,NA
2013,Austria,9504,0.0876364709353792,0.0368101493428087,0.426832360341718,0.412722199669264,0.112488020081816,0.631466840004739,0.487418701436018,1.05718400917336,0.631466840004739,0.612820823881799,1.0756922871477,1.61098185895458,0.882409654428848
2014,Austria,11561,0.106604086751254,0.282338271492085,0.566447218672473,0.217255377347983,0.426832360341718,0.412722199669264,0.0368101493428087,0.539320380423534,1.044189039674,0.524228850778827,1.48401636951508,1.044189039674,0.649630973224607
2015,Austria,9571,0.0882542785482443,0.49838844357665,0.0965070663812117,0.287647275524582,0.566447218672473,0.217255377347983,0.282338271492085,0.993279579014191,0.629977577017247,0.319148420834894,1.10576759909601,1.26144441702199,0.806567122270912
2016,Austria,9518,0.0877655650634405,0.01547503666106,0.844653224918708,0.0175273890546372,0.0965070663812117,0.287647275524582,0.49838844357665,0.662954285053685,0.504902652872564,0.780726715068736,1.0897866453954,0.917624852541829,0.817536864411544
2017,Austria,10820,0.0997713189731484,0.658314052294102,0.0575394115065832,0.281859725930799,0.844653224918708,0.0175273890546372,0.01547503666106,0.94116029129992,0.305174664579219,0.51386348023771,1.50760750997239,0.522430041927202,0.796201751729796
2018,Austria,8399,0.0774472558276778,0.00354551099640299,0.243532286565431,0.527394760714944,0.0575394115065832,0.281859725930799,0.658314052294102,0.902192636425292,0.299387114985436,0.673789088955162,0.998699702806503,0.587034390510018,1.17217753253181
2019,Austria,10369,0.0956126438477427,0.216343575574434,0.423123039667764,0.316659823235229,0.243532286565431,0.527394760714944,0.00354551099640299,0.301071698072014,0.809254486645743,0.661859563290505,1.14572492299072,0.82678187570038,0.677334599951565
2010,Belgium,6310,0.118406485147586,0.528871071640711,0.0136026390277193,0.641591140807429,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Belgium,4977,0.0933928805989754,0.182643335042351,0.591373302432494,0.159912168514909,0.0136026390277193,0.641591140807429,0.528871071640711,NA,NA,NA,NA,NA,NA
2012,Belgium,9533,0.178885740556567,0.979815691115325,0.176719009299734,0.63232270515061,0.591373302432494,0.159912168514909,0.182643335042351,0.604975941460213,0.801503309322337,0.711514406683062,NA,NA,NA
