Season,Country,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,Region,H3_FINAL,H1_FINAL,H1pdm_FINAL,H3_PROP,H1_PROP,H1pdm_PROP,B_PROP,IS_H1_DOM,IS_H3_DOM,IS_H1pdm_DOM,IS_B_DOM,Y_SINCE_LAST_H3,Y_SINCE_LAST_H1,Y_SINCE_LAST_H1pdm,Y_SINCE_LAST_B
2002,South Africa,0,3550,44,0,5,1,50,0,0,67,67,117,Southern Africa,5.10204081632653,44.8979591836735,0,0.0436071864643293,0.383743240886098,0,0.572649572649573,1,0,0,1,NA,NA,NA,NA
2003,South Africa,0,250,2,0,56,12,70,0,0,5,5,75,Southern Africa,67.5862068965517,2.41379310344828,0,0.901149425287356,0.032183908045977,0,0.0666666666666667,0,1,0,0,>1,1,NA,1
2004,South Africa,0,222,0,0,20,5,25,0,0,1,1,26,Southern Africa,25,0,0,0.961538461538462,0,0,0.0384615384615385,0,1,0,0,1,2,NA,2
2005,South Africa,0,1494,290,0,98,79,467,0,0,112,112,579,Southern Africa,117.953608247423,349.046391752577,0,0.203719530651853,0.602843509071809,0,0.193436960276339,1,1,0,0,1,3,NA,3
2006,South Africa,0,1319,13,0,223,259,495,0,0,37,37,532,Southern Africa,467.733050847458,27.2669491525424,0,0.879197463998981,0.0512536638205684,0,0.0695488721804511,0,1,0,0,1,1,NA,4
2007,South Africa,0,1610,148,0,215,27,390,0,0,143,143,533,Southern Africa,230.99173553719,159.00826446281,0,0.43338036686152,0.298326950211651,0,0.268292682926829,1,1,0,1,1,2,NA,5
2008,South Africa,0,1590,345,0,14,22,381,44,11,13,68,449,Southern Africa,14.857938718663,366.142061281337,0,0.0330911775471335,0.815461160982933,0,0.151447661469933,1,0,0,0,1,1,NA,1
2009,South Africa,6698,7177,2,1179,242,28,1451,0,0,132,132,1583,Southern Africa,246.761770906535,2.03935347856641,1202.1988756149,0.155882356858203,0.00128828394097689,0.759443383205874,0.0833859759949463,0,0,1,0,2,NA,NA,2
2010,South Africa,7000,6853,0,275,339,0,614,0,0,719,719,1333,Southern Africa,339,0,275,0.254313578394599,0,0.206301575393848,0.539384846211553,0,1,1,1,3,NA,1,3
2011,South Africa,8098,7939,0,988,228,26,1242,0,0,270,270,1512,Southern Africa,232.875,0,1009.125,0.154017857142857,0,0.667410714285714,0.178571428571429,0,0,1,0,1,NA,1,1
2012,South Africa,9236,9236,0,5,676,9,690,92,310,216,618,1308,Southern Africa,684.933920704846,0,5.06607929515418,0.523649786471595,0,0.00387314930822185,0.472477064220183,0,1,0,1,2,NA,1,2
2013,South Africa,8726,8726,0,891,270,1,1162,4,0,196,200,1362,Southern Africa,270.232558139535,0,891.767441860465,0.198408632995253,0,0.654748488884336,0.146842878120411,0,0,1,0,1,NA,2,1
2014,South Africa,6295,6295,0,83,621,1,705,23,1,115,139,844,Southern Africa,621.882102272727,0,83.1178977272727,0.736827135394227,0,0.0984809214778113,0.164691943127962,0,1,0,0,2,NA,1,2
